Dimensions,d,b,t,Mass,Area_per_m,Area_per_t,span_thick_width,span_thick_height,Area,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C,kf,Compact_x,Zex,Compact_y,Zey
75 x 50 x 1.6 RHS,75,50,1.6,3.01,0.245,81.3,29.3,44.9,383,0.305,8.14,9.75,28.2,0.164,6.56,7.4,20.7,0.337,10.8,0.799,N,8.26,S,5.01
75 x 25 x 2.5 RHS,75,25,2.5,3.6,0.191,53.1,8,28,459,0.285,7.6,10.1,24.9,0.0487,3.89,4.53,10.3,0.144,7.14,1,C,10.1,N,4.05
75 x 25 x 2.0 RHS,75,25,2,2.93,0.193,65.8,10.5,35.5,374,0.238,6.36,8.31,25.3,0.0414,3.31,3.77,10.5,0.12,6.04,0.878,C,8.31,S,2.88
75 x 25 x 1.6 RHS,75,25,1.6,2.38,0.195,81.7,13.6,44.9,303,0.197,5.26,6.81,25.5,0.0347,2.78,3.11,10.7,0.0993,5.05,0.746,C,6.81,S,2.02
65 x 35 x 4.0 RHS,65,35,4,5.35,0.183,34.2,6.75,14.3,681,0.328,10.1,13.3,22,0.123,7.03,8.58,13.4,0.32,12.5,1,C,13.3,C,8.58
65 x 35 x 3.0 RHS,65,35,3,4.25,0.19,44.7,9.67,19.7,541,0.281,8.65,11,22.8,0.106,6.04,7.11,14,0.259,10.4,1,C,11,C,7.11
65 x 35 x 2.5 RHS,65,35,2.5,3.6,0.191,53.1,12,24,459,0.244,7.52,9.45,23.1,0.0926,5.29,6.13,14.2,0.223,9.1,1,C,9.45,N,5.95
65 x 35 x 2.0 RHS,65,35,2,2.93,0.193,65.8,15.5,30.5,374,0.204,6.28,7.8,23.4,0.0778,4.44,5.07,14.4,0.184,7.62,0.985,C,7.8,S,4.37
50 x 25 x 3.0 RHS,50,25,3,3.07,0.14,45.5,6.33,14.7,391,0.112,4.47,5.86,16.9,0.0367,2.93,3.56,9.69,0.0964,5.18,1,C,5.86,C,3.56
50 x 25 x 2.5 RHS,50,25,2.5,2.62,0.141,54,8,18,334,0.0989,3.95,5.11,17.2,0.0328,2.62,3.12,9.91,0.0843,4.6,1,C,5.11,C,3.12
50 x 25 x 2.0 RHS,50,25,2,2.15,0.143,66.6,10.5,23,274,0.0838,3.35,4.26,17.5,0.0281,2.25,2.62,10.1,0.0706,3.92,1,C,4.26,N,2.58
50 x 25 x 1.6 RHS,50,25,1.6,1.75,0.145,82.5,13.6,29.3,223,0.0702,2.81,3.53,17.7,0.0237,1.9,2.17,10.3,0.0585,3.29,1,C,3.53,N,1.92
50 x 20 x 3.0 RHS,50,20,3,2.83,0.13,45.8,4.67,14.7,361,0.0951,3.81,5.16,16.2,0.0212,2.12,2.63,7.67,0.062,3.88,1,C,5.16,C,2.63
50 x 20 x 2.5 RHS,50,20,2.5,2.42,0.131,54.2,6,18,309,0.0848,3.39,4.51,16.6,0.0192,1.92,2.32,7.89,0.055,3.49,1,C,4.51,C,2.32
50 x 20 x 2.0 RHS,50,20,2,1.99,0.133,66.8,8,23,254,0.0723,2.89,3.78,16.9,0.0167,1.67,1.96,8.11,0.0466,3,1,C,3.78,N,1.93
50 x 20 x 1.6 RHS,50,20,1.6,1.63,0.135,82.7,10.5,29.3,207,0.0608,2.43,3.14,17.1,0.0142,1.42,1.63,8.29,0.0389,2.55,1,C,3.14,N,1.44
